departamento;municipio;puesto;mujeres;hombres;total;mesas;comuna;dirección
BOLIVAR;CARTAGENA;CENTRO COMERCIAL BOCAGRANDE;3.884;3.513;7.397;22;01LOC. 1 HISTORICA Y DEL CARIBE;CR 2 NO 8-146 BOCAGRANDE AV SAN MARTIN
BOLIVAR;CARTAGENA;UNIV. TECNOLG. DE BOLIVAR - MA;6.154;5.284;11.438;34;01LOC. 1 HISTORICA Y DEL CARIBE;CLL DEL BOUQUET CR 21 NO. 25-92 MANGA
BOLIVAR;CARTAGENA;LUDOTECA PARQUE CENTENARIO;575;810;1.385;5;01LOC. 1 HISTORICA Y DEL CARIBE;GETSEMANI, CLL 32 No 7-120, PQ CENTENARIO
BOLIVAR;CARTAGENA;COL. EUCARÍSTICO DE SANTA TERESA;3.432;2.705;6.137;18;01LOC. 1 HISTORICA Y DEL CARIBE;Manga, Calle 27 No. 24-21
BOLIVAR;CARTAGENA;CENTRO COMERCIAL PLAZA BOCAGRANDE;3.785;4.498;8.283;25;01LOC. 1 HISTORICA Y DEL CARIBE;CRA 1 No 12 - 118
BOLIVAR;CARTAGENA;COLEGIO DE LA ESPERANZA;3.249;4.592;7.841;23;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 63 NO 02-04 CRESPO
BOLIVAR;CARTAGENA;COLEGIO NAVAL DE CRESPO;4.428;6.073;10.501;31;01LOC. 1 HISTORICA Y DEL CARIBE;AV 9A CLL 72 BARRIO MILIT CRESPO
BOLIVAR;CARTAGENA;COLEGIO EL CARMELO;522;3.527;4.049;12;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 66 NO 4-73 CRESPO
BOLIVAR;CARTAGENA;COLEGIO BERVELLY HILLS;3.403;3.029;6.432;19;01LOC. 1 HISTORICA Y DEL CARIBE;CRESPO CRA 2 No 77-71
BOLIVAR;CARTAGENA;COLEGIO LICEO BOLIVAR;4.737;3.574;8.311;25;01LOC. 1 HISTORICA Y DEL CARIBE;CR 17 NO 71-25 DANIEL LEMAITRE
BOLIVAR;CARTAGENA;IE STA MARIA SEDE SAGRADO CORAZON;6.160;3.503;9.663;29;01LOC. 1 HISTORICA Y DEL CARIBE;CR 16 No 67-50 DANIEL LEMAITRE
BOLIVAR;CARTAGENA;I.E.CORAZON DE MARIA;4.626;2.930;7.556;22;01LOC. 1 HISTORICA Y DEL CARIBE;SAN FRANCISCO FRENTE AL CAI CRA 19 No 77-29
BOLIVAR;CARTAGENA;IE CORAZON DE MARIA S S J CLAV;1.759;2.929;4.688;14;01LOC. 1 HISTORICA Y DEL CARIBE;SAN FRANCISCO CRA 19 No 77-30
BOLIVAR;CARTAGENA;I.E SANTA MARIA SD MARCO FIDEL SUAREZ;2.924;2.629;5.553;17;01LOC. 1 HISTORICA Y DEL CARIBE;BARRIO SANTA MARIA CLL 70 No 70-41
BOLIVAR;CARTAGENA;COLISEO CUBIERTO BERNARDO CARABALLO;5.507;5.550;11.057;33;01LOC. 1 HISTORICA Y DEL CARIBE;CRA17 No 35-119
BOLIVAR;CARTAGENA;COLEGIO JOSE DE LA VEGA;6.856;5.453;12.309;36;01LOC. 1 HISTORICA Y DEL CARIBE;CLL 54 NO 17 - 102 TORICES
BOLIVAR;CARTAGENA;IE HER. ANTONIO RAMOS DE LA SALLE;2.192;2.123;4.315;13;01LOC. 1 HISTORICA Y DEL CARIBE;CLL NUEVA DEL ESPINAL NO 34-392 ESPINAL
BOLIVAR;CARTAGENA;INST. ED. ANA MARIA VELEZ DE TRUJILLO;3.983;3.417;7.400;22;01LOC. 1 HISTORICA Y DEL CARIBE;TORICES, SECT SANTA RITA CRA 16 # 17-53
BOLIVAR;CARTAGENA;CORP UNIVERSITARIA RAFAEL NUÑEZ TORICES;393;313;706;3;01LOC. 1 HISTORICA Y DEL CARIBE;TORICES CRA 17 No 35-117
BOLIVAR;CARTAGENA;C.ECON. PIEDRA DE BOL UNIV. C/GENA;5.750;4.998;10.748;32;01LOC. 1 HISTORICA Y DEL CARIBE;AV CONSULADO CLL 30 NO 48-152 PIEDRA DE BOLIVAR
BOLIVAR;CARTAGENA;COLEGIO COMFENALCO SEDE CEDESARROLLO;4.514;4.450;8.964;27;01LOC. 1 HISTORICA Y DEL CARIBE;DG 30 No 50-187 ZARAGOCILLA SECT EL CAIRO
BOLIVAR;CARTAGENA;INST. ED. MADRE LAURA;3.421;2.631;6.052;18;01LOC. 1 HISTORICA Y DEL CARIBE;PIEDRA BOLIVAR CLL 30 NRO. 50 - 136
BOLIVAR;CARTAGENA;SENA 4 VIENTOS;2.504;2.360;4.864;15;01LOC. 1 HISTORICA Y DEL CARIBE;AV. PEDRO DE HEREDIA SECT TESCA
BOLIVAR;CARTAGENA;I E CASD MANUELA BELTRAN;1.563;1.333;2.896;9;01LOC. 1 HISTORICA Y DEL CARIBE;AV PEDRO DE HEREDIA CLL 31 No 57-106
BOLIVAR;CARTAGENA;IE NUEVO BOSQUE;8.217;7.138;15.355;45;01LOC. 1 HISTORICA Y DEL CARIBE;TR 53 NO 23A-104 MZ I URB BARLOVENTO
BOLIVAR;CARTAGENA;COL ALBERTO ELIAS FERNANDEZ;5.162;5.319;10.481;31;01LOC. 1 HISTORICA Y DEL CARIBE;DG 21A 47-49 AV BUENOS AIRES BOSQUE
