"DEPARTAMENTO","MUNICIPIO","PUESTO","COMUNA","DIRECCIÓN","LATITUD","LONGITUD","ALCALDE","GOBERNACIÓN","CONCEJO","ASAMBLEA","JAL","CANTIDAD ELECCIONES"
"ANTIOQUIA","MEDELLIN","SEC. ESC. LA ESPERANZA No 2","01COMUNA 1 POPULAR","KR 29 # 102 - 20","6.29116","-75.541166","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","INST.EDUC. LA CANDELARIA","01COMUNA 1 POPULAR","CL 106 # 32-100","6.2935183","-75.5424117","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","IE MARIA DE LOS ANGELES CANO MARQUEZ","01COMUNA 1 POPULAR","CRA 36B No 102C -54","6.292371293","-75.54483033","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC. ESC. MEDELLIN","01COMUNA 1 POPULAR","CL 96 # 36-45","6.2867589","-75.5465494","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","I.E.FE Y ALEGRIA GRANIZAL","01COMUNA 1 POPULAR","Cra 39A N° 104-23","6.29277703714","-75.54773237302","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","IE LA AVANZADA","01COMUNA 1 POPULAR","CRA 27 No 106BB-65","6.2943218","-75.5390466","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC. ESC. CARPINELO AMAPOLITA","01COMUNA 1 POPULAR","CALLE 97 # 23-12","6.28691436587","-75.53846275965","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","IE ANTONIO DERKA","01COMUNA 1 POPULAR","CRA 28 No 107-425","6.29686256188","-75.53872842131","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","IE NUEVO HORIZONTES No 2","01COMUNA 1 POPULAR","CARRERA 37 No 107AA 21","6.29474408042","-75.54603781685","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC.ESC. PABLO VI","01COMUNA 1 POPULAR","KR 42B # 110 A 28","6.2994019","-75.5465213","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC. ESC. DIVINA PROVIDENCIA","01COMUNA 1 POPULAR","CL 108 NO 43B - 17","6.29733473324","-75.54921182921","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC.ESC.AGRIPINA MONTES DEL VALLE","01COMUNA 1 POPULAR","CALLE 95 #42 B 44","6.28635434889","-75.55038768347","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","I.E.FEDERICO CARRASQUILLA","01COMUNA 1 POPULAR","Cra 45 # 108-110","6.29859233982","-75.54949817791","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","I.E.GUADALUPE","01COMUNA 1 POPULAR","Cra 42B 95A -23","6.28684932863","-75.5500050172","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","I.E.  ASIA IGNACIANA","02COMUNA 2 SANTA CRUZ","CL 122 # 51B-30","6.30620538089","-75.55509115273","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC.ESC.  MANUEL URIBE ANGEL","02COMUNA 2 SANTA CRUZ","KR 49A #107-65","6.29809076956","-75.55370622506","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC. ESC. FIDEL ANTONIO SALDARRIAGA","02COMUNA 2 SANTA CRUZ","CRA 48 No 103B-01","6.29397956792","-75.5538733785","1","1","1","1","1","5"
"ANTIOQUIA","MEDELLIN","SEC ESC LA FRONTERA","02COMUNA 2 SANTA CRUZ","CALLE 122 No 50A 14","6.30601765744","-75.55266661634","1","1","1","1","1","5"
