"DEPARTAMENTO","MUNICIPIO","PUESTO","COMUNA","DIRECCIÓN","LATITUD","LONGITUD","ALCALDE","GOBERNACIÓN","CONCEJO","ASAMBLEA","JAL","CANTIDAD ELECCIONES"
"BOLIVAR","PINILLOS","LA RUFINA",,"I.E. CL P/PAL","8.6908772","-74.2798276","1","1","1","1","0","4"
"BOLIVAR","PINILLOS","LA UNION",,"I.E. CL 1ERA","8.9382162","-74.4920251","1","1","1","1","0","4"
"BOLIVAR","CARTAGENA","CENTRO COMERCIAL BOCAGRANDE","01LOC. 1 HISTORICA Y DEL CARIBE","CR 2 NO 8-146 BOCAGRANDE AV SAN MARTIN","10.40436390639","-75.5538636446","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","UNIV. TECNOLG. DE BOLIVAR - MA","01LOC. 1 HISTORICA Y DEL CARIBE","CLL DEL BOUQUET CR 21 NO. 25-92 MANGA","10.41315751289","-75.53821603716","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","LUDOTECA PARQUE CENTENARIO","01LOC. 1 HISTORICA Y DEL CARIBE","GETSEMANI, CLL 32 No 7-120, PQ CENTENARIO","10.42230252064","-75.54720640182","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COL. EUCARÍSTICO DE SANTA TERESA","01LOC. 1 HISTORICA Y DEL CARIBE","Manga, Calle 27 No. 24-21","10.41402714405","-75.53638637066","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","CENTRO COMERCIAL PLAZA BOCAGRANDE","01LOC. 1 HISTORICA Y DEL CARIBE","CRA 1 No 12 - 118","10.411179","-75.5557927","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO DE LA ESPERANZA","01LOC. 1 HISTORICA Y DEL CARIBE","CLL 63 NO 02-04 CRESPO","10.44396202","-75.52389825","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO NAVAL DE CRESPO","01LOC. 1 HISTORICA Y DEL CARIBE","AV 9A CLL 72 BARRIO MILIT CRESPO","10.45030906","-75.51393662","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO EL CARMELO","01LOC. 1 HISTORICA Y DEL CARIBE","CLL 66 NO 4-73 CRESPO","10.44643645","-75.52074298","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO BERVELLY HILLS","01LOC. 1 HISTORICA Y DEL CARIBE","CRESPO CRA 2 No 77-71","10.44417040435","-75.52133381367","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO LICEO BOLIVAR","01LOC. 1 HISTORICA Y DEL CARIBE","CR 17 NO 71-25 DANIEL LEMAITRE","10.43785018","-75.51825166","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","IE STA MARIA SEDE SAGRADO CORAZON","01LOC. 1 HISTORICA Y DEL CARIBE","CR 16 No 67-50 DANIEL LEMAITRE","10.43774531","-75.51711217","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","I.E.CORAZON DE MARIA","01LOC. 1 HISTORICA Y DEL CARIBE","SAN FRANCISCO FRENTE AL CAI CRA 19 No 77-29","10.43492421","-75.51563544","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","IE CORAZON DE MARIA S S J CLAV","01LOC. 1 HISTORICA Y DEL CARIBE","SAN FRANCISCO CRA 19 No 77-30","10.43450926","-75.51577758","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","I.E. SANTA MARIA","01LOC. 1 HISTORICA Y DEL CARIBE","Lemaitre Cra 17 Nro 70 B -119","10.43821953781","-75.51728367805","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLISEO CUBIERTO BERNARDO CARABALLO","01LOC. 1 HISTORICA Y DEL CARIBE","CRA17 No 35-119","10.57788626961","-75.46549055544","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","COLEGIO JOSE DE LA VEGA","01LOC. 1 HISTORICA Y DEL CARIBE","CLL 54 NO 17 - 102 TORICES","10.43514909","-75.52815328","1","1","1","1","1","5"
"BOLIVAR","CARTAGENA","IE HER. ANTONIO RAMOS DE LA SALLE","01LOC. 1 HISTORICA Y DEL CARIBE","CLL NUEVA DEL ESPINAL NO 34-392 ESPINAL","10.42416344","-75.53582549","1","1","1","1","1","5"
